Ticker,Shares
RY.TO,187.4464715133267
VSP.TO,358.71627369140685
SO,365.8678950210289
ABBV,132.7252998288041
CSCO,369.54803416827406
SU.TO,669.0328384666767
LOW,115.39425040471659
GM,1116.3837042525336
SPG,110.69396816917852
CMCSA,683.5910184711464
TD.TO,211.9163589703421
COST,21.532581116354848
BK,156.47901231372663
AXP,227.68841339682774
PEP,122.34427487405993
SLB,2250.214307885219
AIM.TO,8928.545105101937
SAP.TO,606.9416533636013
T.TO,1435.1277703242054
GOOG,277.81753504509163
